x-axis,CH1,CH2
second,Volt,Volt
-7.2400e-03,7.2000e-01,7.2000e+02
-7.2300e-03,7.2000e-01,6.4000e+02
-7.2200e-03,8.8000e-01,7.2000e+02
-7.2100e-03,8.0000e-01,6.4000e+02
-7.2000e-03,8.8000e-01,8.0000e+02
-7.1900e-03,8.8000e-01,8.0000e+02
-7.1800e-03,9.6000e-01,8.0000e+02
-7.1700e-03,9.6000e-01,8.0000e+02
-7.1600e-03,9.6000e-01,9.6000e+02
-7.1500e-03,9.6000e-01,8.0000e+02
-7.1400e-03,1.1200e+00,1.0400e+03
-7.1300e-03,1.0400e+00,8.8000e+02
-7.1200e-03,1.1200e+00,1.0400e+03
-7.1100e-03,1.1200e+00,9.6000e+02
-7.1000e-03,1.2000e+00,1.0400e+03
-7.0900e-03,1.1200e+00,1.0400e+03
-7.0800e-03,1.2000e+00,1.1200e+03
-7.0700e-03,1.2000e+00,1.0400e+03
-7.0600e-03,1.2800e+00,1.2000e+03
-7.0500e-03,1.2800e+00,1.1200e+03
-7.0400e-03,1.3600e+00,1.2000e+03
-7.0300e-03,1.2800e+00,1.2000e+03
-7.0200e-03,1.3600e+00,1.2000e+03
-7.0100e-03,1.3600e+00,1.2000e+03
-7.0000e-03,1.3600e+00,1.2000e+03
-6.9900e-03,1.3600e+00,1.2000e+03
-6.9800e-03,1.4400e+00,1.3600e+03
-6.9700e-03,1.4400e+00,1.2800e+03
-6.9600e-03,1.5200e+00,1.3600e+03
-6.9500e-03,1.4400e+00,1.2800e+03
-6.9400e-03,1.6000e+00,1.3600e+03
-6.9300e-03,1.5200e+00,1.3600e+03
-6.9200e-03,1.6800e+00,1.5200e+03
-6.9100e-03,1.6000e+00,1.4400e+03
-6.9000e-03,1.6800e+00,1.5200e+03
-6.8900e-03,1.6000e+00,1.4400e+03
-6.8800e-03,1.6800e+00,1.5200e+03
-6.8700e-03,1.6800e+00,1.4400e+03
-6.8600e-03,1.7600e+00,1.6000e+03
-6.8500e-03,1.6800e+00,1.5200e+03
-6.8400e-03,1.7600e+00,1.6000e+03
-6.8300e-03,1.7600e+00,1.5200e+03
-6.8200e-03,1.7600e+00,1.6000e+03
-6.8100e-03,1.7600e+00,1.5200e+03
-6.8000e-03,1.8400e+00,1.6800e+03
-6.7900e-03,1.7600e+00,1.5200e+03
-6.7800e-03,1.9200e+00,1.6800e+03
-6.7700e-03,1.8400e+00,1.6800e+03
-6.7600e-03,2.0000e+00,1.7600e+03
-6.7500e-03,1.8400e+00,1.6800e+03
-6.7400e-03,2.0000e+00,1.8400e+03
-6.7300e-03,2.0000e+00,1.6800e+03
-6.7200e-03,1.9200e+00,1.7600e+03
-6.7100e-03,2.0000e+00,1.6800e+03
-6.7000e-03,2.0000e+00,1.8400e+03
-6.6900e-03,2.0000e+00,1.7600e+03
-6.6800e-03,2.0800e+00,1.8400e+03
-6.6700e-03,2.0800e+00,1.8400e+03
-6.6600e-03,2.1600e+00,1.8400e+03
-6.6500e-03,2.0800e+00,1.8400e+03
-6.6400e-03,2.1600e+00,1.9200e+03
-6.6300e-03,2.0800e+00,1.8400e+03
-6.6200e-03,2.1600e+00,1.8400e+03
-6.6100e-03,2.0800e+00,1.9200e+03
-6.6000e-03,2.1600e+00,2.0000e+03
-6.5900e-03,2.1600e+00,1.8400e+03
-6.5800e-03,2.2400e+00,2.0000e+03
-6.5700e-03,2.2400e+00,1.8400e+03
-6.5600e-03,2.2400e+00,2.0000e+03
-6.5500e-03,2.1600e+00,1.9200e+03
-6.5400e-03,2.2400e+00,2.0000e+03
-6.5300e-03,2.2400e+00,2.0000e+03
-6.5200e-03,2.2400e+00,2.0800e+03
-6.5100e-03,2.3200e+00,2.0000e+03
-6.5000e-03,2.3200e+00,2.0000e+03
-6.4900e-03,2.3200e+00,2.0000e+03
-6.4800e-03,2.3200e+00,2.0000e+03
-6.4700e-03,2.3200e+00,2.0000e+03
-6.4600e-03,2.3200e+00,2.0800e+03
-6.4500e-03,2.3200e+00,2.0000e+03
-6.4400e-03,2.3200e+00,2.0800e+03
-6.4300e-03,2.3200e+00,2.0800e+03
-6.4200e-03,2.3200e+00,2.0800e+03
-6.4100e-03,2.3200e+00,2.0800e+03
-6.4000e-03,2.3200e+00,2.1600e+03
-6.3900e-03,2.3200e+00,2.0800e+03
-6.3800e-03,2.3200e+00,2.0800e+03
-6.3700e-03,2.3200e+00,2.0800e+03
-6.3600e-03,2.4000e+00,2.0800e+03
-6.3500e-03,2.4000e+00,2.0000e+03
-6.3400e-03,2.4000e+00,2.1600e+03
-6.3300e-03,2.3200e+00,2.0800e+03
-6.3200e-03,2.4000e+00,2.1600e+03
-6.3100e-03,2.3200e+00,2.0800e+03
-6.3000e-03,2.4000e+00,2.1600e+03
-6.2900e-03,2.4000e+00,2.0800e+03
-6.2800e-03,2.4000e+00,2.1600e+03
-6.2700e-03,2.4000e+00,2.0800e+03
-6.2600e-03,2.4000e+00,2.1600e+03
-6.2500e-03,2.4000e+00,2.1600e+03
-6.2400e-03,2.4000e+00,2.1600e+03
-6.2300e-03,2.3200e+00,2.1600e+03
-6.2200e-03,2.4000e+00,2.1600e+03
-6.2100e-03,2.4000e+00,2.0800e+03
-6.2000e-03,2.4000e+00,2.0800e+03
-6.1900e-03,2.4000e+00,2.0800e+03
-6.1800e-03,2.4000e+00,2.1600e+03
-6.1700e-03,2.4000e+00,2.0000e+03
-6.1600e-03,2.4000e+00,2.1600e+03
-6.1500e-03,2.4000e+00,2.0800e+03
-6.1400e-03,2.4000e+00,2.0800e+03
-6.1300e-03,2.4000e+00,2.0800e+03
-6.1200e-03,2.3200e+00,2.1600e+03
-6.1100e-03,2.3200e+00,2.0800e+03
-6.1000e-03,2.4000e+00,2.0800e+03
-6.0900e-03,2.4000e+00,2.0800e+03
-6.0800e-03,2.3200e+00,2.1600e+03
