Time (s) Run #1	Position (m) Run #1	Force (N) Run #1	Stress (MPa) Run #1	Strain Run #1	Time (s) Run #2	Position (m) Run #2	Force (N) Run #2	Stress (MPa) Run #2	Strain Run #2	Time (s) Run #3	Position (m) Run #3	Force (N) Run #3	Stress (MPa) Run #3	Strain Run #3	Time (s) Run #4	Position (m) Run #4	Force (N) Run #4	Stress (MPa) Run #4	Strain Run #4	Time (s) Run #5	Position (m) Run #5	Force (N) Run #5	Stress (MPa) Run #5	Strain Run #5	Time (s) Run #6	Position (m) Run #6	Force (N) Run #6	Stress (MPa) Run #6	Strain Run #6
0.000	5.22745E-7	0	12.43	1.49E-5	0.000	4.80576E-7	0	12.46	1.37E-5	0.000	4.80576E-7	0	12.46	1.37E-5	0.000	4.38414E-7	0	12.49	1.25E-5	0.000	4.80576E-7	0	12.46	1.37E-5	0.000	5.22745E-7	0	12.43	1.49E-5
0.200	5.64920E-7	0	12.40	1.61E-5	0.200	4.38414E-7	0	12.49	1.25E-5	0.200	4.80576E-7	0	12.46	1.37E-5	0.200	4.80576E-7	0	12.46	1.37E-5	0.200	4.80576E-7	0	12.46	1.37E-5	0.200	5.22745E-7	0	12.43	1.49E-5
0.400	5.64920E-7	0	12.40	1.61E-5	0.400	4.38414E-7	0	12.49	1.25E-5	0.400	4.38414E-7	0	12.49	1.25E-5	0.400	5.22745E-7	0	12.43	1.49E-5	0.400	5.64920E-7	0	12.40	1.61E-5	0.400	5.64920E-7	0	12.40	1.61E-5
0.600	6.07101E-7	0	12.37	1.73E-5	0.600	4.38414E-7	0	12.49	1.25E-5	0.600	4.38414E-7	0	12.49	1.25E-5	0.600	5.22745E-7	0	12.43	1.49E-5	0.600	4.80576E-7	0	12.46	1.37E-5	0.600	6.07101E-7	0	12.37	1.73E-5
0.800	6.07101E-7	0	12.37	1.73E-5	0.800	3.96259E-7	1	12.52	1.13E-5	0.800	4.80576E-7	0	12.46	1.37E-5	0.800	5.22745E-7	0	12.43	1.49E-5	0.800	5.22745E-7	0	12.43	1.49E-5	0.800	5.22745E-7	0	12.43	1.49E-5
1.000	6.49289E-7	-1	12.34	1.86E-5	1.000	4.80576E-7	0	12.46	1.37E-5	1.000	5.22745E-7	0	12.43	1.49E-5	1.000	4.80576E-7	0	12.46	1.37E-5	1.000	5.22745E-7	0	12.43	1.49E-5	1.000	5.64920E-7	0	12.40	1.61E-5
1.200	6.49289E-7	-1	12.34	1.86E-5	1.200	4.38414E-7	0	12.49	1.25E-5	1.200	4.80576E-7	0	12.46	1.37E-5	1.200	4.80576E-7	0	12.46	1.37E-5	1.200	4.80576E-7	0	12.46	1.37E-5	1.200	5.64920E-7	0	12.40	1.61E-5
1.400	6.49289E-7	-1	12.34	1.86E-5						1.400	5.22745E-7	0	12.43	1.49E-5	1.400	4.80576E-7	0	12.46	1.37E-5	1.400	5.22745E-7	0	12.43	1.49E-5	1.400	5.22745E-7	0	12.43	1.49E-5
1.600	6.07101E-7	0	12.37	1.73E-5						1.600	5.64920E-7	0	12.40	1.61E-5	1.600	4.80576E-7	0	12.46	1.37E-5	1.600	5.22745E-7	0	12.43	1.49E-5	1.600	5.64920E-7	0	12.40	1.61E-5
1.800	6.49289E-7	-1	12.34	1.86E-5						1.800	5.64920E-7	0	12.40	1.61E-5	1.800	4.80576E-7	0	12.46	1.37E-5	1.800	5.64920E-7	0	12.40	1.61E-5	1.800	6.55700E-6	39	17.22	1.87E-4
2.000	3.06274E-6	0	12.43	8.75E-5						2.000	5.22745E-7	0	12.43	1.49E-5	2.000	5.22745E-7	0	12.43	1.49E-5	2.000	5.22745E-7	0	12.43	1.49E-5	2.000	1.29055E-5	203	37.64	3.69E-4
2.200	2.08038E-5	4	12.91	5.94E-4						2.200	5.22745E-7	0	12.43	1.49E-5	2.200	5.22745E-7	0	12.43	1.49E-5	2.200	5.22745E-7	0	12.43	1.49E-5	2.200	1.51070E-5	454	68.82	4.32E-4
2.400	4.39679E-5	9	13.60	0.00						2.400	5.22745E-7	0	12.43	1.49E-5	2.400	4.80576E-7	0	12.46	1.37E-5	2.400	4.38414E-7	0	12.49	1.25E-5	2.400	1.79034E-5	660	94.45	5.12E-4
2.600	7.26834E-5	16	14.41	0.00						2.600	5.22745E-7	0	12.43	1.49E-5	2.600	4.80576E-7	0	12.46	1.37E-5	2.600	4.80576E-7	0	12.46	1.37E-5	2.600	3.03135E-5	928	127.82	8.66E-4
2.800	9.83116E-5	22	15.16	0.00						2.800	4.38414E-7	0	12.49	1.25E-5	2.800	5.64920E-7	0	12.40	1.61E-5	2.800	8.14274E-6	0	12.43	2.33E-4	2.800	4.47664E-5	1316	176.01	0.00
3.000	1.14282E-4	25	15.55	0.00						3.000	5.64920E-7	0	12.40	1.61E-5	3.000	5.22745E-7	0	12.43	1.49E-5	3.000	9.83127E-5	0	12.43	0.00	3.000	6.86500E-5	1689	222.43	0.00
3.200	1.21694E-4	26	15.70	0.00						3.200	5.22745E-7	0	12.43	1.49E-5	3.200	5.22745E-7	0	12.43	1.49E-5	3.200	2.11893E-4	0	12.49	0.01	3.200	9.06130E-5	2182	283.76	0.00
3.400	1.27961E-4	27	15.76	0.00						3.400	2.51210E-6	0	12.37	7.18E-5	3.400	5.64920E-7	0	12.40	1.61E-5	3.400	3.18658E-4	0	12.43	0.01	3.400	1.14511E-4	2541	328.39	0.00
3.600	1.34145E-4	28	15.88	0.00						3.600	2.15230E-5	3	12.85	6.15E-4	3.600	5.64920E-7	0	12.40	1.61E-5	3.600	4.69111E-4	0	12.46	0.01	3.600	1.44996E-4	2930	376.70	0.00
3.800	1.40371E-4	28	15.97	0.00						3.800	4.73107E-5	8	13.48	0.00	3.800	5.22745E-7	0	12.43	1.49E-5	3.800	6.15796E-4	0	12.46	0.02	3.800	1.76219E-4	3029	389.06	0.01
4.000	1.47149E-4	30	16.12	0.00						4.000	7.25917E-5	13	14.02	0.00	4.000	4.80576E-7	0	12.46	1.37E-5	4.000	7.09141E-4	0	12.46	0.02	4.000	2.52922E-4	3051	391.84	0.01
4.200	1.55239E-4	31	16.24	0.00						4.200	1.00373E-4	17	14.59	0.00	4.200	5.22745E-7	0	12.43	1.49E-5	4.200	7.76366E-4	1	12.52	0.02	4.200	3.17391E-4	3056	392.44	0.01
4.400	1.62058E-4	32	16.35	0.00						4.400	1.30186E-4	21	15.07	0.00	4.400	4.80576E-7	0	12.46	1.37E-5	4.400	8.69161E-4	0	12.46	0.02	4.400	3.78434E-4	3126	401.12	0.01
4.600	1.68160E-4	33	16.53	0.00						4.600	1.66821E-4	26	15.67	0.00	4.600	4.80576E-7	0	12.46	1.37E-5	4.600	9.83503E-4	0	12.43	0.03	4.600	4.44193E-4	3171	406.75	0.01
4.800	1.73710E-4	34	16.65	0.00						4.800	2.07861E-4	31	16.30	0.01	4.800	4.80576E-7	0	12.46	1.37E-5	4.800	0.00108	0	12.49	0.03	4.800	4.95159E-4	3199	410.22	0.01
5.000	1.79854E-4	35	16.80	0.01						5.000	2.62709E-4	37	17.04	0.01	5.000	5.22745E-7	0	12.43	1.49E-5	5.000	0.00121	0	12.49	0.03	5.000	5.43661E-4	3246	416.08	0.02
5.200	1.85445E-4	36	16.89	0.01						5.200	3.17684E-4	42	17.70	0.01	5.200	5.64920E-7	0	12.40	1.61E-5	5.200	0.00129	0	12.46	0.04	5.200	5.74364E-4	3284	420.72	0.02
5.400	1.92265E-4	37	17.01	0.01						5.400	3.77579E-4	49	18.48	0.01						5.400	0.00135	0	12.46	0.04	5.400	6.21983E-4	3314	424.56	0.02
5.600	1.97139E-4	38	17.16	0.01						5.600	4.25430E-4	51	18.78	0.01						5.600	0.00142	0	12.46	0.04	5.600	6.73899E-4	3348	428.69	0.02
5.800	2.02055E-4	39	17.28	0.01						5.800	4.69513E-4	53	19.05	0.01						5.800	0.00150	0	12.49	0.04	5.800	7.16516E-4	3377	432.37	0.02
6.000	2.08364E-4	39	17.31	0.01						6.000	5.19946E-4	55	19.32	0.01						6.000	0.00158	0	12.43	0.05	6.000	7.63888E-4	3412	436.71	0.02
